href,payment,description,details
https://www.linkedin.com/jobs/view/data-analyst-at-paramount-pictures-4279650100?position=1&pageNum=0&refId=V500JIdIWVUq1XY%2Bscie6A%3D%3D&trackingId=LrS0azqjDlWLzX0dBilxjA%3D%3D,,,
https://www.linkedin.com/jobs/view/data-scientist-finance-at-notion-4290982029?position=2&pageNum=0&refId=V500JIdIWVUq1XY%2Bscie6A%3D%3D&trackingId=teJiQkJ3TSYOAbuUw0U6aQ%3D%3D,,,
https://www.linkedin.com/jobs/view/data-scientist-marketing-at-notion-4278971840?position=3&pageNum=0&refId=V500JIdIWVUq1XY%2Bscie6A%3D%3D&trackingId=xajKJHuEiy01x%2BzDucHVnA%3D%3D,,,
https://www.linkedin.com/jobs/view/data-scientist-at-zillow-4278390413?position=4&pageNum=0&refId=V500JIdIWVUq1XY%2Bscie6A%3D%3D&trackingId=m5K6XGPKnfrXhPhIglSpug%3D%3D,,,
https://www.linkedin.com/jobs/view/bi-developer-at-linkedin-4290222262?position=5&pageNum=0&refId=V500JIdIWVUq1XY%2Bscie6A%3D%3D&trackingId=VUAp8LNfatP502sjvgELkg%3D%3D,,,
https://www.linkedin.com/jobs/view/machine-learning-engineer-recent-grad-at-paypal-4287167448?position=6&pageNum=0&refId=V500JIdIWVUq1XY%2Bscie6A%3D%3D&trackingId=Go0mXTFPgrfvzAt4i%2Fa4WA%3D%3D,,"The Company
PayPal has been revolutionizing commerce globally for more than 25 years. Creating innovative experiences that make moving money, selling, and shopping simple, personalized, and secure, PayPal empowers consumers and businesses in approximately 200 markets to join and thrive in the global economy.

We operate a global, two-sided network at scale that connects hundreds of millions of merchants and consumers. We help merchants and consumers connect, transact, and complete payments, whether they are online or in person. PayPal is more than a connection to third-party payment networks. We provide proprietary payment solutions accepted by merchants that enable the completion of payments on our platform on behalf of our customers.

We offer our customers the flexibility to use their accounts to purchase and receive payments for goods and services, as well as the ability to transfer and withdraw funds. We enable consumers to exchange funds more safely with merchants using a variety of funding sources, which may include a bank account, a PayPal or Venmo account balance, PayPal and Venmo branded credit products, a credit card, a debit card, certain cryptocurrencies, or other stored value products such as gift cards, and eligible credit card rewards. Our PayPal, Venmo, and Xoom products also make it safer and simpler for friends and family to transfer funds to each other. We offer merchants an end-to-end payments solution that provides authorization and settlement capabilities, as well as instant access to funds and payouts. We also help merchants connect with their customers, process exchanges and returns, and manage risk. We enable consumers to engage in cross-border shopping and merchants to extend their global reach while reducing the complexity and friction involved in enabling cross-border trade.

Our beliefs are the foundation for how we conduct business every day. We live each day guided by our core values of Inclusion, Innovation, Collaboration, and Wellness. Together, our values ensure that we work together as one global team with our customers at the center of everything we do – and they push us to ensure we take care of ourselves, each other, and our communities.


This job will assist in designing, developing, and implementing machine learning models and algorithms to solve complex problems. You will work closely with senior engineers, data scientists, and product teams to enhance services through innovative AI/ML solutions. Your role will involve building scalable ML pipelines, ensuring data quality, and deploying models into production environments to drive business insights and improve customer experiences.












PayPal does not charge candidates any fees for courses, applications, resume reviews, interviews, background checks, or onboarding. Any such request is a red flag and likely part of a scam. To learn more about how to identify and avoid recruitment fraud please visit https://careers.pypl.com/contact-us.

For the majority of employees, PayPal's balanced hybrid work model offers 3 days in the office for effective in-person collaboration and 2 days at your choice of either the PayPal office or your home workspace, ensuring that you equally have the benefits and conveniences of both locations.



At PayPal, we’re committed to building an equitable and inclusive global economy. And we can’t do this without our most important asset-you. That’s why we offer benefits to help you thrive in every stage of life. We champion your financial, physical, and mental health by offering valuable benefits and resources to help you care for the whole you.

We have great benefits including a flexible work environment, employee shares options, health and life insurance and more. To learn more about our benefits please visit https://www.paypalbenefits.com



To learn more about our culture and community visit https://about.pypl.com/who-we-are/default.aspx



PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state, or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at paypalglobaltalentacquisition@paypal.com.



Our employees are central to advancing our mission, and we strive to create an environment where everyone can do their best work with a sense of purpose and belonging. Belonging at PayPal means creating a workplace with a sense of acceptance and security where all employees feel included and valued. We are proud to have a diverse workforce reflective of the merchants, consumers, and communities that we serve, and we continue to take tangible actions to cultivate inclusivity and belonging at PayPal.

Any general requests for consideration of your skills, please Join our Talent Community.

We know the confidence gap and imposter syndrome can get in the way of meeting spectacular candidates. Please don’t hesitate to apply.

REQ ID R0130035",
https://www.linkedin.com/jobs/view/data-analyst-i-at-patientiq-4289108584?position=7&pageNum=0&refId=V500JIdIWVUq1XY%2Bscie6A%3D%3D&trackingId=MS8Bw4kS3Dg2FpLOghXLDg%3D%3D,,"Location: Remote

Manager of Integrations

Implementation



PatientIQ is a fast-growing healthcare technology company on a mission to improve patient outcomes through smarter, data-driven care. We work with healthcare providers, life sciences organizations, and research institutions to transform clinical insights into action. As we scale, we are investing in strong operational infrastructure to enable consistent, predictable growth across the commercial organization.



Are you interested in building the future of healthcare and transforming the patient experience? Are you hopeful about what data and medical research can do to improve medicine? We're looking for a Data Analyst to ensure PatientIQ remains at the forefront of using data to drive positive healthcare outcomes.

As a core member of the Data Engineering department, you will be in a dynamic environment that works cross-functionally with all other departments, such as Engineering, Product, Customer Success, and Marketing. You will work on a broad array of problems that rely on data to derive insights for our business and customers. We heavily value diligence, curiosity, and initiative, which are key to unlocking the value of PatientIQ's data for our users and decision-making. Your work will be impactful across the entire organization.",
https://www.linkedin.com/jobs/view/data-analyst-at-the-value-maximizer-4289967838?position=8&pageNum=0&refId=V500JIdIWVUq1XY%2Bscie6A%3D%3D&trackingId=txRCxkBWeACtT1WQvdne4A%3D%3D,,Key Responsibilities,
https://www.linkedin.com/jobs/view/data-scientist-l5-mobile-search-at-netflix-4288811212?position=9&pageNum=0&refId=V500JIdIWVUq1XY%2Bscie6A%3D%3D&trackingId=LbsJ6vh8KOohrpLV07I3TA%3D%3D,,,
https://www.linkedin.com/jobs/view/data-analyst-at-northern-bank-4289707725?position=10&pageNum=0&refId=V500JIdIWVUq1XY%2Bscie6A%3D%3D&trackingId=hPZFcZYkJOCJmBzM%2FUH09w%3D%3D,,"The Enterprise Data Management team is a nimble, cross-functional group that thrives on solving complex data challenges. We manage enterprise data assets, engineer scalable reporting solutions, and deliver actionable insights that inform strategic decisions across the bank.

We’re seeking a Data Analyst with a strong analytical mindset and a passion for coding—someone who can bridge the gap between raw data and business intelligence. This role offers the opportunity to work with modern data stacks and contribute to the evolution of our data infrastructure.

























Northern Bank is a full-service bank dedicated to providing practical, common sense financial solutions to help our customers live their lives and grow their businesses. From deposit products to loans to payment and collections services, we work hands-on with our entrepreneurial customers, both locally and across the country, to provide the financial support they need to realize their personal and business goals. Founded in 1960, Northern Bank has assets of over $3 billion with 12 locations serving communities throughout Middlesex County. Northern Bank is a Member of the FDIC, and an Equal Housing Lender. For more information on online banking services, please visit www.NBTC.com or follow Northern Bank on Facebook (/NorthernBankM A/), Twitter (@northernbankma), Instagram (@northernbankma) and LinkedIn (company/northern-bank-ma/).

Powered by JazzHR

nljh9cgjoS",
