href,payment,description,details
https://www.linkedin.com/jobs/view/data-analyst-at-paramount-pictures-4279650100?position=1&pageNum=0&refId=V500JIdIWVUq1XY%2Bscie6A%3D%3D&trackingId=LrS0azqjDlWLzX0dBilxjA%3D%3D,"$56,000.00/yr - $70,000.00/yr",,
https://www.linkedin.com/jobs/view/data-scientist-finance-at-notion-4290982029?position=2&pageNum=0&refId=V500JIdIWVUq1XY%2Bscie6A%3D%3D&trackingId=teJiQkJ3TSYOAbuUw0U6aQ%3D%3D,"$140,000.00/yr - $175,000.00/yr","About Us

We're on a mission to make it possible for every person, team, and company to be able to tailor their software to solve any problem and take on any challenge. Computers may be our most powerful tools, but most of us can't build or modify the software we use on them every day. At Notion, we want to change this with focus, design, and craft.

We've been working on this together since 2016, and have customers like OpenAI, Toyota, Figma, Ramp, and thousands more on this journey with us. Today, we're growing fast and excited for new teammates to join us who are the best at what they do. We're passionate about building a company as diverse and creative as the millions of people Notion reaches worldwide.

Notion is an in person company, and currently requires its employees to come to the office for two Anchor Days (Mondays & Thursdays) and requests that employees spend the majority of their week in the office (including a third day).



Notion is seeking a Finance Data Scientist to join our growing team. In this role, you'll work at the intersection of Finance, Product, and Go-to-Market, using data to drive Notion's growth and success. The ideal candidate is a strong communicator with a growth mindset who collaborates effectively and focuses on action and impact.

Your work will translate initiatives from both our self-serve and sales-assisted businesses into tangible revenue outcomes. You'll partner with the Strategic Finance team to identify growth opportunities, develop insights that deepen our understanding of the business, and forecast future performance.









We hire talented and passionate people from a variety of backgrounds because we want our global employee base to represent the wide diversity of our customers. If you’re excited about a role but your past experience doesn’t align perfectly with every bullet point listed in the job description, we still encourage you to apply. If you’re a builder at heart, share our company values, and enthusiastic about making software toolmaking ubiquitous, we want to hear from you.

Notion is proud to be an equal opportunity employer. We do not discriminate in hiring or any employment decision based on race, color, religion, national origin, age, sex (including pregnancy, childbirth, or related medical conditions), marital status, ancestry, physical or mental disability, genetic information, veteran status, gender identity or expression, sexual orientation, or other applicable legally protected characteristic. Notion considers qualified applicants with criminal histories, consistent with applicable federal, state and local law. Notion is also committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or an accommodation due to a disability, please let your recruiter know.

Notion is committed to providing highly competitive cash compensation, equity, and benefits. The compensation offered for this role will be based on multiple factors such as location, the role’s scope and complexity, and the candidate’s experience and expertise, and may vary from the range provided below. For roles based in San Francisco or New York City, the estimated base salary range for this role is $140,000 - $175,000 per year.

By clicking “Submit Application”, I understand and agree that Notion and its affiliates and subsidiaries will collect and process my information in accordance with Notion’s Global Recruiting Privacy Policy.",
https://www.linkedin.com/jobs/view/data-scientist-marketing-at-notion-4278971840?position=3&pageNum=0&refId=V500JIdIWVUq1XY%2Bscie6A%3D%3D&trackingId=xajKJHuEiy01x%2BzDucHVnA%3D%3D,"$140,000.00/yr - $235,000.00/yr","About Us

Notion helps you build beautiful tools for your life’s work. In today's world of endless apps and tabs, Notion provides one place for teams to get everything done, seamlessly connecting docs, notes, projects, calendar, and email—with AI built in to find answers and automate work. Millions of users, from individuals to large organizations like Toyota, Figma, and OpenAI, love Notion for its flexibility and choose it because it helps them save time and money.

In-person collaboration is essential to Notion's culture. We require all team members to work from our offices on Mondays and Thursdays, our designated Anchor Days. Certain teams or positions may require additional in-office workdays.



As our Data Scientist for marketing, you will be a key business partner to our Marketing team. Your work will be instrumental in shaping our data strategy as we design and implement a Marketing motion. From exploring what successful customer accounts look like to creating sales pipeline forecasts, your insights will directly impact business decisions and strategy. Each day will bring new challenges and opportunities to drive meaningful change with data.













We hire talented and passionate people from a variety of backgrounds because we want our global employee base to represent the wide diversity of our customers. If you’re excited about a role but your past experience doesn’t align perfectly with every bullet point listed in the job description, we still encourage you to apply. If you’re a builder at heart, share our company values, and enthusiastic about making software toolmaking ubiquitous, we want to hear from you.

Notion is proud to be an equal opportunity employer. We do not discriminate in hiring or any employment decision based on race, color, religion, national origin, age, sex (including pregnancy, childbirth, or related medical conditions), marital status, ancestry, physical or mental disability, genetic information, veteran status, gender identity or expression, sexual orientation, or other applicable legally protected characteristic. Notion considers qualified applicants with criminal histories, consistent with applicable federal, state and local law. Notion is also committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or an accommodation due to a disability, please let your recruiter know.

Notion is committed to providing highly competitive cash compensation, equity, and benefits. The compensation offered for this role will be based on multiple factors such as location, the role’s scope and complexity, and the candidate’s experience and expertise, and may vary from the range provided below. For roles based in San Francisco, the estimated base salary range for this role is $140,000 - $235,000 per year.

By clicking “Submit Application”, I understand and agree that Notion and its affiliates and subsidiaries will collect and process my information in accordance with Notion’s Global Recruiting Privacy Policy.

Show more","Seniority level
Not Applicable"
https://www.linkedin.com/jobs/view/data-scientist-at-zillow-4278390413?position=4&pageNum=0&refId=V500JIdIWVUq1XY%2Bscie6A%3D%3D&trackingId=m5K6XGPKnfrXhPhIglSpug%3D%3D,"$123,200.00/yr - $196,800.00/yr","About The Team

Zillow Group’s Agent Software & Advertising (ASA) organization represents the next step forward in the company's dedication to integrate an improved, more efficient showing process to benefit customers and partners, their clients and the real estate industry as a whole.

ASA has built and acquired a portfolio of market-leading products for agent productivity, listing media, showing coordination, transaction management and analytics solutions. Our wide array of products and services are built on technological innovations crafted to bring efficiencies to all users.



The Business Data Science team within Zillow is hiring a Data Scientist to lead analytics to uncover insights to drive both better business decisions and customer experiences across our product portfolio.





This role has been categorized as a Remote position. “Remote” employees do not have a permanent corporate office workplace and, instead, work from a physical location of their choice, which must be identified to the Company. U.S. employees may live in any of the 50 United States, with limited exceptions.

In California, Colorado, Connecticut, Hawaii, Illinois, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New York, Rhode Island, Vermont, Washington state, and Washington DC the standard base pay range for this role is $123,200.00 - $196,800.00 Annually. This base pay range is specific to California, Colorado, Connecticut, Hawaii, Illinois, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New York, Rhode Island, Vermont, Washington state, and Washington DC and may not be applicable to other locations.

In addition to a competitive base salary this position is also eligible for equity awards based on factors such as experience, performance and location. Actual amounts will vary depending on experience, performance and location.

Who you are

You are ready to bring your data and analytics expertise to transform what it means for the real estate industry to unlock the ability for consumers to dream, search, and find a home. You have an appreciation of the unique challenges posed by business to business product development and go-to-market.





Get to know us

Zillow is reimagining real estate to make home a reality for more and more people.

As the most-visited real estate website in the United States, Zillow® and its affiliates help movers find and win their home through digital solutions, first class partners, and easier buying, selling, financing and renting experiences. Millions of people visit Zillow Group sites every month to start their home search, and now they can rely on Zillow to help make it easier to move. The work we do helps people get home and no matter what job you're in, you will play a critical role in making home a reality for more and more people.

Our efforts to streamline the real estate transaction are supported by a deep-rooted culture of innovation, our passion to redefine the employee experience, a fundamental commitment to Equity and Belonging, and world-class benefits. These benefits include comprehensive medical, dental, vision, life, and disability coverages as well as parental leave, family benefits, retirement contributions, and paid time off. We’re also setting the standard for work experiences of the future, where our employees are supported in doing their best work and living a flexible, well-balanced life. But don’t just take our word for it. Read recent reviews on Glassdoor and recent recognition from multiple organizations, including: the 100 Best Companies to Work For, Glassdoor Employees’ Choice Award, Bloomberg Gender-Equality Index, Human Rights Campaign (HRC) Corporate Equity Index, and TIME 100 Most Influential Companies list.





Show more","Seniority level
Mid-Senior level"
https://www.linkedin.com/jobs/view/bi-developer-at-linkedin-4290222262?position=5&pageNum=0&refId=V500JIdIWVUq1XY%2Bscie6A%3D%3D&trackingId=VUAp8LNfatP502sjvgELkg%3D%3D,"$112,000.00/yr - $185,000.00/yr","Company Description

LinkedIn is the world’s largest professional network, built to create economic opportunity for every member of the global workforce. Our products help people make powerful connections, discover exciting opportunities, build necessary skills, and gain valuable insights every day. We’re also committed to providing transformational opportunities for our own employees by investing in their growth. We aspire to create a culture that’s built on trust, care, inclusion, and fun – where everyone can succeed.

Join us to transform the way the world works.



This role will be based in Sunnyvale, San Francisco, Chicago or New York depending upon which location the applicant chosen for the role is currently residing.

At LinkedIn, our approach to flexible work is centered on trust and optimized for culture, connection, clarity, and the evolving needs of our business. The work location of this role is hybrid, meaning it will be performed both from home and from a LinkedIn office on select days, as determined by the business needs of the team.

The ideal candidate will require advanced visualization skills (PowerBI / Tableau) and SQL skills to create impactful data visualizations and insights. This will span all phases of the data asset development lifecycle (e.g., requirements elicitation through development and eventual sunset). The candidate should also have strong analytical skills and be adept at deriving, distilling and articulating actionable business insights from large amounts of data. Using strong communication skills, the role will effectively collaborate with a variety of people and job functions, accomplishing tasks of high complexity and scope, and can perform professionally in a challenging and extremely fast-paced environment.

What You’ll Do:






Basic Qualifications:




Preferred Qualifications:




Suggested Skills:




LinkedIn is committed to fair and equitable compensation practices.

The pay range for this role is $112,000 to $185,000. Actual compensation packages are based on a wide array of factors unique to each candidate, including but not limited to skill set, years & depth of experience, certifications and specific office location. This may differ in other locations due to cost of labor considerations.

The total compensation package for this position may also include annual performance bonus, stock, benefits and/or other applicable incentive compensation plans. For additional information, visit: https://careers.linkedin.com/benefits.





We seek candidates with a wide range of perspectives and backgrounds and we are proud to be an equal opportunity employer. LinkedIn considers qualified applicants without regard to race, color, religion, creed, gender, national origin, age, disability, veteran status, marital status, pregnancy, sex, gender expression or identity, sexual orientation, citizenship, or any other legally protected class.

LinkedIn is committed to offering an inclusive and accessible experience for all job seekers, including individuals with disabilities. Our goal is to foster an inclusive and accessible workplace where everyone has the opportunity to be successful.

If you need a reasonable accommodation to search for a job opening, apply for a position, or participate in the interview process, connect with us at accommodations@linkedin.com and describe the specific accommodation requested for a disability-related limitation.

Reasonable accommodations are modifications or adjustments to the application or hiring process that would enable you to fully participate in that process. Examples of reasonable accommodations include but are not limited to:




A request for an accommodation will be responded to within three business days. However, non-disability related requests, such as following up on an application, will not receive a response.

LinkedIn will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by LinkedIn, or (c) consistent with LinkedIn's legal duty to furnish information.



Pursuant to the San Francisco Fair Chance Ordinance, LinkedIn will consider for employment qualified applicants with arrest and conviction records.



As a federal contractor, LinkedIn follows the Pay Transparency and non-discrimination provisions described at this link: https://lnkd.in/paytransparency.



Please follow this link to access the document that provides transparency around the way in which LinkedIn handles personal data of employees and job applicants: https://legal.linkedin.com/candidate-portal.

Show more","Seniority level
Mid-Senior level"
https://www.linkedin.com/jobs/view/machine-learning-engineer-recent-grad-at-paypal-4287167448?position=6&pageNum=0&refId=V500JIdIWVUq1XY%2Bscie6A%3D%3D&trackingId=Go0mXTFPgrfvzAt4i%2Fa4WA%3D%3D,,"The Company
PayPal has been revolutionizing commerce globally for more than 25 years. Creating innovative experiences that make moving money, selling, and shopping simple, personalized, and secure, PayPal empowers consumers and businesses in approximately 200 markets to join and thrive in the global economy.

We operate a global, two-sided network at scale that connects hundreds of millions of merchants and consumers. We help merchants and consumers connect, transact, and complete payments, whether they are online or in person. PayPal is more than a connection to third-party payment networks. We provide proprietary payment solutions accepted by merchants that enable the completion of payments on our platform on behalf of our customers.

We offer our customers the flexibility to use their accounts to purchase and receive payments for goods and services, as well as the ability to transfer and withdraw funds. We enable consumers to exchange funds more safely with merchants using a variety of funding sources, which may include a bank account, a PayPal or Venmo account balance, PayPal and Venmo branded credit products, a credit card, a debit card, certain cryptocurrencies, or other stored value products such as gift cards, and eligible credit card rewards. Our PayPal, Venmo, and Xoom products also make it safer and simpler for friends and family to transfer funds to each other. We offer merchants an end-to-end payments solution that provides authorization and settlement capabilities, as well as instant access to funds and payouts. We also help merchants connect with their customers, process exchanges and returns, and manage risk. We enable consumers to engage in cross-border shopping and merchants to extend their global reach while reducing the complexity and friction involved in enabling cross-border trade.

Our beliefs are the foundation for how we conduct business every day. We live each day guided by our core values of Inclusion, Innovation, Collaboration, and Wellness. Together, our values ensure that we work together as one global team with our customers at the center of everything we do – and they push us to ensure we take care of ourselves, each other, and our communities.


This job will assist in designing, developing, and implementing machine learning models and algorithms to solve complex problems. You will work closely with senior engineers, data scientists, and product teams to enhance services through innovative AI/ML solutions. Your role will involve building scalable ML pipelines, ensuring data quality, and deploying models into production environments to drive business insights and improve customer experiences.












PayPal does not charge candidates any fees for courses, applications, resume reviews, interviews, background checks, or onboarding. Any such request is a red flag and likely part of a scam. To learn more about how to identify and avoid recruitment fraud please visit https://careers.pypl.com/contact-us.

For the majority of employees, PayPal's balanced hybrid work model offers 3 days in the office for effective in-person collaboration and 2 days at your choice of either the PayPal office or your home workspace, ensuring that you equally have the benefits and conveniences of both locations.



At PayPal, we’re committed to building an equitable and inclusive global economy. And we can’t do this without our most important asset-you. That’s why we offer benefits to help you thrive in every stage of life. We champion your financial, physical, and mental health by offering valuable benefits and resources to help you care for the whole you.

We have great benefits including a flexible work environment, employee shares options, health and life insurance and more. To learn more about our benefits please visit https://www.paypalbenefits.com



To learn more about our culture and community visit https://about.pypl.com/who-we-are/default.aspx



PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state, or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at paypalglobaltalentacquisition@paypal.com.



Our employees are central to advancing our mission, and we strive to create an environment where everyone can do their best work with a sense of purpose and belonging. Belonging at PayPal means creating a workplace with a sense of acceptance and security where all employees feel included and valued. We are proud to have a diverse workforce reflective of the merchants, consumers, and communities that we serve, and we continue to take tangible actions to cultivate inclusivity and belonging at PayPal.

Any general requests for consideration of your skills, please Join our Talent Community.

We know the confidence gap and imposter syndrome can get in the way of meeting spectacular candidates. Please don’t hesitate to apply.

REQ ID R0130035
Show more","Seniority level
Not Applicable"
https://www.linkedin.com/jobs/view/data-analyst-i-at-patientiq-4289108584?position=7&pageNum=0&refId=V500JIdIWVUq1XY%2Bscie6A%3D%3D&trackingId=MS8Bw4kS3Dg2FpLOghXLDg%3D%3D,,"Location: Remote

Reports to: Manager of Integrations

Department: Implementation



PatientIQ is a fast-growing healthcare technology company on a mission to improve patient outcomes through smarter, data-driven care. We work with healthcare providers, life sciences organizations, and research institutions to transform clinical insights into action. As we scale, we are investing in strong operational infrastructure to enable consistent, predictable growth across the commercial organization.



Are you interested in building the future of healthcare and transforming the patient experience? Are you hopeful about what data and medical research can do to improve medicine? We're looking for a Data Analyst to ensure PatientIQ remains at the forefront of using data to drive positive healthcare outcomes.

As a core member of the Data Engineering department, you will be in a dynamic environment that works cross-functionally with all other departments, such as Engineering, Product, Customer Success, and Marketing. You will work on a broad array of problems that rely on data to derive insights for our business and customers. We heavily value diligence, curiosity, and initiative, which are key to unlocking the value of PatientIQ's data for our users and decision-making. Your work will be impactful across the entire organization.





















Show more","Seniority level
Mid-Senior level"
https://www.linkedin.com/jobs/view/data-analyst-at-the-value-maximizer-4289967838?position=8&pageNum=0&refId=V500JIdIWVUq1XY%2Bscie6A%3D%3D&trackingId=txRCxkBWeACtT1WQvdne4A%3D%3D,,"Key Responsibilities

Collect, clean, and analyze structured and unstructured datasets from multiple sources (databases, cloud storage, APIs, spreadsheets)




Show more","Seniority level
Mid-Senior level"
https://www.linkedin.com/jobs/view/data-scientist-l5-mobile-search-at-netflix-4288811212?position=9&pageNum=0&refId=V500JIdIWVUq1XY%2Bscie6A%3D%3D&trackingId=LbsJ6vh8KOohrpLV07I3TA%3D%3D,"$170,000.00/yr - $720,000.00/yr","Netflix is one of the world's leading entertainment services, with over 300 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time.

The Member Experience Data Science and Engineering team is at the forefront of driving innovations in Netflix’s core product experience within our streaming and new business domains through data. The team collaborates extensively with Product and Engineering teams to identify, incubate and enable product innovations leveraging robust measurement techniques (analytics, experimentation, modeling) and scalable tooling.

As a Data Scientist focused on the Mobile & Search domain, you’ll be shaping the direction of Netflix’s core product on Mobile, and influencing the member experience for how millions of members discover content on our service. By partnering with the cross-functional team, you will be driving product innovation while ensuring a coherent overall product experience for our members.









Generally, our compensation structure consists solely of an annual salary; we do not have bonuses. You choose each year how much of your compensation you want in salary versus stock options. To determine your personal top of market compensation, we rely on market indicators and consider your specific job family, background, skills, and experience to determine your compensation in the market range. The range for this role is $170 - $720K.

Netflix provides comprehensive benefits including Health Plans, Mental Health support, a 401(k) Retirement Plan with employer match, Stock Option Program, Disability Programs, Health Savings and Flexible Spending Accounts, Family-forming benefits, and Life and Serious Injury Benefits. We also offer paid leave of absence programs. Full-time hourly employees accrue 35 days annually for paid time off to be used for vacation, holidays, and sick paid time off. Full-time salaried employees are immediately entitled to flexible time off. See more detail about our Benefits here.

Netflix is a unique culture and environment. Learn more here.

Inclusion is a Netflix value and we strive to host a meaningful interview experience for all candidates. If you want an accommodation/adjustment for a disability or any other reason during the hiring process, please send a request to your recruiting partner.

We are an equal-opportunity employer and celebrate diversity, recognizing that diversity builds stronger teams. We approach diversity and inclusion seriously and thoughtfully. We do not discriminate on the basis of race, religion, color, ancestry, national origin, caste, sex, sexual orientation, gender, gender identity or expression, age, disability, medical condition, pregnancy, genetic makeup, marital status, or military service.

Job is open for no less than 7 days and will be removed when the position is filled.
Show more","Seniority level
Not Applicable"
https://www.linkedin.com/jobs/view/data-analyst-at-northern-bank-4289707725?position=10&pageNum=0&refId=V500JIdIWVUq1XY%2Bscie6A%3D%3D&trackingId=hPZFcZYkJOCJmBzM%2FUH09w%3D%3D,,"The Enterprise Data Management team is a nimble, cross-functional group that thrives on solving complex data challenges. We manage enterprise data assets, engineer scalable reporting solutions, and deliver actionable insights that inform strategic decisions across the bank.

We’re seeking a Data Analyst with a strong analytical mindset and a passion for coding—someone who can bridge the gap between raw data and business intelligence. This role offers the opportunity to work with modern data stacks and contribute to the evolution of our data infrastructure.

























Northern Bank is a full-service bank dedicated to providing practical, common sense financial solutions to help our customers live their lives and grow their businesses. From deposit products to loans to payment and collections services, we work hands-on with our entrepreneurial customers, both locally and across the country, to provide the financial support they need to realize their personal and business goals. Founded in 1960, Northern Bank has assets of over $3 billion with 12 locations serving communities throughout Middlesex County. Northern Bank is a Member of the FDIC, and an Equal Housing Lender. For more information on online banking services, please visit www.NBTC.com or follow Northern Bank on Facebook (/NorthernBankM A/), Twitter (@northernbankma), Instagram (@northernbankma) and LinkedIn (company/northern-bank-ma/).

Powered by JazzHR

nljh9cgjoS
Show more","Seniority level
Mid-Senior level"
